Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc
300-0424-343,500-0012-000,105515018,US GOVT CAMP BULLIS,,19540 FM 1535 #GSTA,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6345278,,,,,,,,General Service PL,,,52667,,,,,,,,31,3110,10,10,357.89,29.73,65.84,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,357.89,494.28,-260.74,233.54,591.43,591.43,2.1E+11
300-0424-351,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #9,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6582619,,,,,,,,General Service PL,,,22540,,,,,,,,31,2915,6,6,310.61,27.87,61.71,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,310.61,577.19,-308.98,268.21,578.82,578.82,2.1E+11
300-0424-355,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8048158,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-0424-358,500-0012-000,105515018,US GOVT CAMP BULLIS,,5100 CAMP BULLIS RD #WEL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8097705,,,,,,,,General Service PL,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-0424-366,500-0012-000,105515018,US GOVT CAMP BULLIS,,5257 CAMP BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8048124,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-105.29,-8.75,-114.04,-105.29,-105.29,2.1E+11
300-1401-926,500-0012-000,105515018,US GOVT CAMP BULLIS,,887 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301660,,,,,,,,General Service PL,,,24574,,,,,,,,31,24,0,0,11.22,0.23,0.51,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,11.22,23.32,-11.93,11.39,22.61,22.61,2.1E+11
300-1401-938,500-0012-000,105515018,US GOVT CAMP BULLIS,,888 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6162306,,,,,,,,General Service PL,,,86046,,,,,,,,31,26,0,0,11.42,0.25,0.55,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,11.42,214.91,-166.03,48.88,60.3,60.3,2.1E+11
300-1401-942,500-0012-000,105515018,US GOVT CAMP BULLIS,,1120 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301869,,,,,,,,General Service PL,,,38830,,,,,,,,31,601,9,9,70.45,5.75,12.72,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,70.45,85.95,-50.56,35.39,105.84,105.84,2.1E+11
300-1401-946,500-0012-000,105515018,US GOVT CAMP BULLIS,,1150 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533879,,,,,,,,General Service PL,,,14584,,,,,,,,31,105,10,10,28.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,28.75,92.1,-71.35,20.75,49.5,49.5,2.1E+11
300-1401-966,500-0012-000,105515018,US GOVT CAMP BULLIS,,5000 CMPB NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533870,,,,,,,,General Service PL,,,37287,,,,,,,,31,3921,14,14,456.76,37.48,83.01,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,456.76,727.75,-364.47,363.28,820.04,820.04,2.1E+11
300-1401-968,500-0012-000,105515018,US GOVT CAMP BULLIS,,5010 CMPB-NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533871,,,,,,,,General Service PL,,,3291,,,,,,,,31,20981,39,39,2078.69,200.58,444.17,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,2078.69,3963.62,-1934.74,2028.88,4107.57,4107.57,2.1E+11
300-1401-971,500-0012-000,105515018,US GOVT CAMP BULLIS,,5020 CMPB-NW MILITARY HWY #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463133,,,,,,,,General Service PL,,,4113,,,,,,,,31,7040,16,16,733.39,67.3,149.04,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,733.39,1115.8,-529.62,586.18,1319.57,1319.57,2.1E+11
300-1401-974,500-0012-000,105515018,US GOVT CAMP BULLIS,,5050 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463137,,,,,,,,General Service PL,,,3703,,,,,,,,31,11400,30,30,1206.81,108.98,241.34,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1206.81,2059.48,-1113.68,945.8,2152.61,2152.61,2.1E+11
300-1401-979,500-0012-000,105515018,US GOVT CAMP BULLIS,,5101 CMPB-NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533875,,,,,,,,General Service PL,,,30182,,,,,,,,31,2945,18,18,357.43,28.15,62.35,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,357.43,489.65,-224.18,265.47,622.9,622.9,2.1E+11
300-1401-981,500-0012-000,105515018,US GOVT CAMP BULLIS,,5105 CMPB-NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463132,,,,,,,,General Service PL,,,4537,,,,,,,,31,9680,35,35,1101.5,92.54,204.93,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1101.5,1857.45,-990.62,866.83,1968.33,1968.33,2.1E+11
300-1402-081,500-0012-000,105515018,US GOVT CAMP BULLIS,,5108 CMPB-NW MILITARY HWY #TL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301649,,,,,,,,General Service PL,,,1711,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-98.82,-8.75,-107.57,-98.82,-98.82,2.1E+11
300-1402-085,500-0012-000,105515018,US GOVT CAMP BULLIS,,5110 CMPB-NW MILITARY HWY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301648,,,,,,,,General Service PL,,,713,,,,,,,,31,12,0,0,9.97,0.11,0.25,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,9.97,-74.48,-10.16,-84.64,-74.67,-74.67,2.1E+11
300-1402-094,500-0012-000,105515018,US GOVT CAMP BULLIS,,5113 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533878,,,,,,,,General Service PL,,,47540,,,,,,,,31,101,0,0,19.12,0.97,2.14,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,19.12,46.2,-23.09,23.11,42.23,42.23,2.1E+11
300-1402-503,500-0012-000,105515018,US GOVT CAMP BULLIS,,5115 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533877,,,,,,,,General Service PL,,,56139,,,,,,,,31,2331,8,8,277.18,22.28,49.35,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,277.18,323.51,-138.79,184.72,461.9,461.9,2.1E+11
300-1402-505,500-0012-000,105515018,US GOVT CAMP BULLIS,,5116 CMPB-WILKERSON RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533876,,,,,,,,General Service PL,,,11365,,,,,,,,31,2872,11,11,345.71,27.46,60.8,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,345.71,480.71,-218.34,262.37,608.08,608.08,2.1E+11
300-1402-507,500-0012-000,105515018,US GOVT CAMP BULLIS,,5117 CMPB-WILKERSON RD,,7/1/2021,7/29/2021,5/29/2021,6/28/2021,8058590,,,,,,,,General Service PL,,,40703,,,,,,,,31,2755,10,10,328.17,26.34,58.32,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,328.17,175.5,-203.41,-27.91,300.26,300.26,907853016
300-1402-514,500-0012-000,105515018,US GOVT CAMP BULLIS,,5120 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6246570,,,,,,,,General Service PL,,,3462,,,,,,,,31,17,0,0,10.49,0.16,0.36,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,10.49,21.88,-11.16,10.72,21.21,21.21,2.1E+11
300-1402-530,500-0012-000,105515018,US GOVT CAMP BULLIS,,5124 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463127,,,,,,,,General Service PL,,,1761,,,,,,,,31,2480,6,6,274.18,23.71,52.5,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,274.18,440.78,-212.96,227.82,502,502,2.1E+11
300-1402-536,500-0012-000,105515018,US GOVT CAMP BULLIS,,5132 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463129,,,,,,,,General Service PL,,,1215,,,,,,,,31,4200,17,17,503.33,40.15,88.91,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,503.33,786.67,-425,361.67,865,865,2.1E+11
300-1402-541,500-0012-000,105515018,US GOVT CAMP BULLIS,,5204 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6191965,,,,,,,,General Service PL,,,41600,,,,,,,,31,581,10,10,68.37,5.55,12.3,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,68.37,127.7,-59.53,68.17,136.54,136.54,2.1E+11
300-1402-543,500-0012-000,105515018,US GOVT CAMP BULLIS,,5219 CMPB-DUTY #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301682,,,,,,,,General Service PL,,,32606,,,,,,,,31,2713,17,17,329.02,25.94,57.43,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,329.02,240.64,-113.23,127.41,456.43,456.43,2.1E+11
300-1402-577,500-0012-000,105515018,US GOVT CAMP BULLIS,,5235 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301662,,,,,,,,General Service PL,,,16840,,,,,,,,31,200,1,1,29.27,1.91,4.23,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,29.27,-1.74,-32.72,-34.46,-5.19,-5.19,2.1E+11
300-1402-780,500-0012-000,105515018,US GOVT CAMP BULLIS,,5237 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6142011,,,,,,,,General Service PL,,,4315,,,,,,,,31,3760,20,20,457.21,35.95,79.6,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,457.21,541.18,-189.07,352.11,809.32,809.32,2.1E+11
300-1405-304,500-0012-000,105515018,US GOVT CAMP BULLIS,,5252 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301661,,,,,,,,General Service PL,,,69350,,,,,,,,31,2113,22,22,255.56,20.2,44.73,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,255.56,207.15,-114.43,92.72,348.28,348.28,2.1E+11
300-1405-307,500-0012-000,105515018,US GOVT CAMP BULLIS,,5266 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6142010,,,,,,,,General Service PL,,,4190,,,,,,,,31,2240,23,23,271.11,21.41,47.42,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,271.11,349.81,-155.63,194.18,465.29,465.29,2.1E+11
300-1405-318,500-0012-000,105515018,US GOVT CAMP BULLIS,,5283 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301663,,,,,,,,General Service PL,,,90062,,,,,,,,31,494,8,8,59.45,4.72,10.46,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,59.45,93.32,-44.77,48.55,108,108,2.1E+11
300-1405-320,500-0012-000,105515018,US GOVT CAMP BULLIS,,5296 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301868,,,,,,,,General Service PL,,,19979,,,,,,,,31,184,8,8,27.64,1.76,3.9,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,27.64,36.24,-21.78,14.46,42.1,42.1,2.1E+11
300-1405-322,500-0012-000,105515018,US GOVT CAMP BULLIS,,5298 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301681,,,,,,,,General Service PL,,,25354,,,,,,,,31,95,1,1,18.5,0.91,2.01,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,18.5,109.73,-60.96,48.77,67.27,67.27,2.1E+11
300-1405-324,500-0012-000,105515018,US GOVT CAMP BULLIS,,5299 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301683,,,,,,,,General Service PL,,,25467,,,,,,,,31,103,5,5,19.32,0.98,2.18,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,19.32,87.27,-28.75,58.52,77.84,77.84,2.1E+11
300-1405-326,500-0012-000,105515018,US GOVT CAMP BULLIS,,5300 CMPB-DUTY #5300,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301644,,,,,,,,General Service PL,,,42704,,,,,,,,31,804,6,6,95.31,7.69,17.02,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,95.31,59.56,-32.83,26.73,122.04,122.04,2.1E+11
300-1405-327,500-0012-000,105515018,US GOVT CAMP BULLIS,,5311 CMPB-DUTY #5311,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301720,,,,,,,,General Service PL,,,83431,,,,,,,,31,3803,30,30,462.48,36.36,80.51,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,462.48,190.3,-98.42,91.88,554.36,554.36,2.1E+11
300-1405-329,500-0012-000,105515018,US GOVT CAMP BULLIS,,5324 CMPB-DUTY #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6284551,,,,,,,,General Service PL,,,5018,,,,,,,,31,7960,33,33,942,76.1,168.51,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,942,846.97,-480.51,366.46,1308.46,1308.46,2.1E+11
300-1405-330,500-0012-000,105515018,US GOVT CAMP BULLIS,,5335 CMPB-DUTY #5335,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6284404,,,,,,,,General Service PL,,,2602,,,,,,,,31,3120,20,20,378.86,29.83,66.05,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,378.86,430.97,-265.52,165.45,544.31,544.31,2.1E+11
300-1405-331,500-0012-000,105515018,US GOVT CAMP BULLIS,,5344 CMPB-DUTY #5344,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6345679,,,,,,,,General Service PL,,,64150,,,,,,,,31,5731,25,25,693.45,54.79,121.33,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,693.45,382.25,-212.96,169.29,862.74,862.74,2.1E+11
300-1405-334,500-0012-000,105515018,US GOVT CAMP BULLIS,,5354 CMPB-DUTY #5354,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301722,,,,,,,,General Service PL,,,65231,,,,,,,,31,2500,15,15,302.95,23.9,52.93,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,302.95,67.56,-35.34,32.22,335.17,335.17,2.1E+11
300-1405-335,500-0012-000,105515018,US GOVT CAMP BULLIS,,5358 CMPB-DUTY #5358,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6191994,,,,,,,,General Service PL,,,70072,,,,,,,,31,1383,7,7,166.19,13.22,29.28,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,166.19,155.6,-82.06,73.54,239.73,239.73,2.1E+11
300-1405-337,500-0012-000,105515018,US GOVT CAMP BULLIS,,5367 CMPB-DUTY #5367,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8027816,,,,,,,,General Service PL,,,95424,,,,,,,,31,5062,9,9,513.59,48.39,107.16,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,513.59,879.48,-461.57,417.91,931.5,931.5,2.1E+11
300-1405-338,500-0012-000,105515018,US GOVT CAMP BULLIS,,5380 CMPB-DUTY #5380,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301721,,,,,,,,General Service PL,,,16914,,,,,,,,31,35,0,0,12.34,0.33,0.74,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,12.34,46.02,-25.27,20.75,33.09,33.09,2.1E+11
300-1405-342,500-0012-000,105515018,US GOVT CAMP BULLIS,,5382 CMPB-DUTY #5382,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301646,,,,,,,,General Service PL,,,25066,,,,,,,,31,746,12,12,88.2,7.13,15.79,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,88.2,82.34,-50.67,31.67,119.87,119.87,2.1E+11
300-1405-346,500-0012-000,105515018,US GOVT CAMP BULLIS,,5384 CMPB-DUTY #5384,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301647,,,,,,,,General Service PL,,,18303,,,,,,,,31,213,7,7,30.61,2.04,4.51,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,30.61,68.18,-50.44,17.74,48.35,48.35,2.1E+11
300-1405-352,500-0012-000,105515018,US GOVT CAMP BULLIS,,5390 CMPB-DUTY,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301645,,,,,,,,General Service PL,,,59468,,,,,,,,31,371,12,12,46.82,3.55,7.85,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,46.82,81.5,-40.75,40.75,87.57,87.57,2.1E+11
300-1405-765,500-0012-000,105515018,US GOVT CAMP BULLIS,,6120 CMPB-MCWILLIAMS RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6283700,,,,,,,,General Service PL,,,1121,,,,,,,,31,2340,4,4,254.72,22.37,49.54,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,254.72,460.11,-222.58,237.53,492.25,492.25,2.1E+11
300-1405-771,500-0012-000,105515018,US GOVT CAMP BULLIS,,6125 CMPB-MCWILLIAMS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533862,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-55.69,-8.75,-64.44,-55.69,-55.69,2.1E+11
300-1405-774,500-0012-000,105515018,US GOVT CAMP BULLIS,,6130 CMPB-MARNE RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533881,,,,,,,,General Service PL,,,51933,,,,,,,,31,19614,40,40,1971.97,187.51,415.23,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1971.97,3130.8,-1648.88,1481.92,3453.89,3453.89,2.1E+11
300-1405-779,500-0012-000,105515018,US GOVT CAMP BULLIS,,6130 CMPB-MARNE RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690737,,,,,,,,General Service PL,,,2191,,,,,,,,31,10680,48,48,1285.85,102.1,226.1,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1285.85,593.68,-275.07,318.61,1604.46,1604.46,2.1E+11
300-1405-780,500-0012-000,105515018,US GOVT CAMP BULLIS,,6134 CMPB-MARNE RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690736,,,,,,,,General Service PL,,,3397,,,,,,,,31,13440,67,67,1642.33,128.49,284.52,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1642.33,1024.14,-418.4,605.74,2248.07,2248.07,2.1E+11
300-1405-787,500-0012-000,105515018,US GOVT CAMP BULLIS,,6138 CMPB-MARNE RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690735,,,,,,,,General Service PL,,,2566,,,,,,,,31,5040,32,32,613.92,48.18,106.7,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,613.92,655.84,-298.96,356.88,970.8,970.8,2.1E+11
