Account number,Collective #,BP#,Customer Name1,Customer Name2,Service Address1,Store No,Bill Date,Due Date,Billing Period From,Billing Period To,Elec Meter1 #,Elec Meter2 #,Elec Meter3 #,Elec Meter4 #,Elec Meter5 #,Elec Meter6 #,Elec Meter7 #,Elec Meter8 #,Elec Rate1,Elec Rate2,Elec Rate3,Elec Meter Read1,Elec Meter Read2,Elec Meter Read3,Elec Meter Read4,Elec Meter Read5,Elec Meter Read6,Elec Meter Read7,Elec Meter Read8,Elec Days on Bill Current,Elec Kwh Used Current,Actual Demand KW,Billing Demand KW,Current Electricity Charge,Elec Reg Adj1,Elec Fuel Adj 1,Elec Reg Adj,Elec Fuel Adj 2,Elec Reg Adj3,Elec Fuel Adj 3,Gas Meter1 #,Gas Meter2 #,Gas Meter3 #,Gas Meter4 #,Gas Rate1,Gas Rate2,Gas Rate3,Gas Meter Read1,Gas Meter Read2,Gas Meter Read3,Gas Meter Read4,Gas Days on Bill Current,Gas ccf Used Current,Current Natural Gas Charge,Gas Fuel Adj1,Gas Reg Adj1,Gas Fuel Adj2,Gas Reg Adj2,Gas Fuel Adj3,Gas Reg Adj3,City Services,State & Local Sales Taxes,Additional Products & Services Total,Total Current Energy Charge,Previous Bill,Payment Adjustments Total,Balance,Due Date Amount,After Due Date Amount,Printdoc
300-1405-788,500-0012-000,105515018,US GOVT CAMP BULLIS,,6143 CMPB-MARNE RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463154,,,,,,,,General Service PL,,,8528,,,,,,,,31,15680,44,44,1673.54,149.9,331.95,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1673.54,2839.21,-1374.28,1464.93,3138.47,3138.47,2.1E+11
300-1405-794,500-0012-000,105515018,US GOVT CAMP BULLIS,,6143 CMPB-MARNE RD #4,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690739,,,,,,,,General Service PL,,,7139,,,,,,,,31,37680,116,116,4072.88,360.22,797.69,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,4072.88,4494.24,-2001.66,2492.58,6565.46,6565.46,2.1E+11
300-1405-795,500-0012-000,105515018,US GOVT CAMP BULLIS,,6143 CMPB-MARNE RD #5,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690738,,,,,,,,General Service PL,,,6687,,,,,,,,31,23640,77,77,2595.45,226,500.46,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,2595.45,3061.08,-1135.04,1926.04,4521.49,4521.49,2.1E+11
300-1405-798,500-0012-000,105515018,US GOVT CAMP BULLIS,,6144 CMPB-MARNE RD #WELL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301872,,,,,,,,General Service PL,,,5851,,,,,,,,31,88,0,0,17.78,0.84,1.86,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,17.78,37.1,-19.48,17.62,35.4,35.4,2.1E+11
300-1405-815,500-0012-000,105515018,US GOVT CAMP BULLIS,,5901 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6246716,,,,,,,,General Service PL,,,17406,,,,,,,,31,210,2,2,30.31,2.01,4.45,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,30.31,-330.42,-34.14,-364.56,-334.25,-334.25,2.1E+11
300-1405-816,500-0012-000,105515018,US GOVT CAMP BULLIS,,5902 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6246718,,,,,,,,General Service PL,,,76992,,,,,,,,31,1495,5,5,179.9,14.29,31.65,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,179.9,247.34,-122.67,124.67,304.57,304.57,2.1E+11
300-1405-819,500-0012-000,105515018,US GOVT CAMP BULLIS,,5903 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301925,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-74.04,-8.75,-82.79,-74.04,-74.04,2.1E+11
300-1405-823,500-0012-000,105515018,US GOVT CAMP BULLIS,,5904 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301926,,,,,,,,General Service PL,,,17365,,,,,,,,31,145,4,4,23.64,1.39,3.07,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,23.64,109.73,-58.77,50.96,74.6,74.6,2.1E+11
300-1405-826,500-0012-000,105515018,US GOVT CAMP BULLIS,,5905 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301924,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-1405-833,500-0012-000,105515018,US GOVT CAMP BULLIS,,5906 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301927,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-81.84,-8.75,-90.59,-81.84,-81.84,2.1E+11
300-1405-834,500-0012-000,105515018,US GOVT CAMP BULLIS,,5907 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6246715,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-81.94,-8.75,-90.69,-81.94,-81.94,2.1E+11
300-1405-839,500-0012-000,105515018,US GOVT CAMP BULLIS,,5920 CMPB-WILKERSON RD #1,,7/1/2021,7/29/2021,5/29/2021,6/28/2021,6283702,,,,,,,,General Service PL,,,18200,,,,,,,,31,65376,92,92,6206.09,624.99,"1,384.01",,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,6206.09,7076.42,-6512.56,563.86,6769.95,6769.95,1002588367
300-1405-841,500-0012-000,105515018,US GOVT CAMP BULLIS,,5920 CMPB-WILKERSON RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8103450,,,,,,,,General Service PL,,,10785,,,,,,,,31,508,1,1,60.89,4.86,10.75,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,60.89,88.81,-46.95,41.86,102.75,102.75,2.1E+11
300-1405-849,500-0012-000,105515018,US GOVT CAMP BULLIS,,5925 CMPB-WILDERNESS RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690742,,,,,,,,General Service PL,,,651,,,,,,,,31,288,0,0,38.31,2.75,6.1,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,38.31,914.05,-368.75,545.3,583.61,583.61,2.1E+11
300-1405-851,500-0012-000,105515018,US GOVT CAMP BULLIS,,6000 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463139,,,,,,,,General Service PL,,,1411,,,,,,,,31,3040,12,12,367.51,29.06,64.36,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,367.51,311.57,-126.97,184.6,552.11,552.11,2.1E+11
300-1406-001,500-0012-000,105515018,US GOVT CAMP BULLIS,,6000 CMPB-ALL AMERICAN #PLT,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6302568,,,,,,,,General Service PL,,,6445,,,,,,,,31,86,,,17.57,0.82,1.82,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,17.57,-41.57,-20.57,-62.14,-44.57,-44.57,2.1E+11
300-1406-006,500-0012-000,105515018,US GOVT CAMP BULLIS,,6088 CMPB-LAURIN HILL RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301671,,,,,,,,General Service PL,,,17921,,,,,,,,31,413,1,1,51.13,3.95,8.74,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,51.13,76.48,-41.37,35.11,86.24,86.24,2.1E+11
300-1406-008,500-0012-000,105515018,US GOVT CAMP BULLIS,,6104 CMPB-BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463144,,,,,,,,General Service PL,,,3692,,,,,,,,31,11640,30,30,1226.91,111.28,246.42,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1226.91,2427.07,-1308.4,1118.67,2345.58,2345.58,2.1E+11
300-1406-009,500-0012-000,105515018,US GOVT CAMP BULLIS,,6104 CMPB-BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301914,,,,,,,,General Service PL,,,12406,,,,,,,,31,175,1,1,26.7,1.67,3.7,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,26.7,60.65,-32.49,28.16,54.86,54.86,2.1E+11
300-1406-021,500-0012-000,105515018,US GOVT CAMP BULLIS,,6105 CMPB-BULLIS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8027817,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-105,-8.75,-113.75,-105,-105,2.1E+11
300-1406-022,500-0012-000,105515018,US GOVT CAMP BULLIS,,6105 CMPB-BULLIS RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8027818,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-102.97,-8.75,-111.72,-102.97,-102.97,2.1E+11
300-1406-026,500-0012-000,105515018,US GOVT CAMP BULLIS,,6107 CMPB-BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463147,,,,,,,,General Service PL,,,3991,,,,,,,,31,6400,17,17,687.54,61.18,135.49,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,687.54,847.13,-384.96,462.17,1149.71,1149.71,2.1E+11
300-1406-027,500-0012-000,105515018,US GOVT CAMP BULLIS,,6110 CMPB-BULLIS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301715,,,,,,,,General Service PL,,,93084,,,,,,,,31,2928,8,8,327.17,27.99,61.99,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,327.17,567.9,-309.93,257.97,585.14,585.14,2.1E+11
300-1406-029,500-0012-000,105515018,US GOVT CAMP BULLIS,,6111 CMPB-BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301650,,,,,,,,General Service PL,,,322,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-105,-8.75,-113.75,-105,-105,2.1E+11
300-1406-031,500-0012-000,105515018,US GOVT CAMP BULLIS,,6118 CMPB-MARNE RD #SLS,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6283913,,,,,,,,General Service PL,,,47013,,,,,,,,31,888,4,4,105.59,8.49,18.8,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,105.59,232,-131.74,100.26,205.85,205.85,2.1E+11
300-1406-032,500-0012-000,105515018,US GOVT CAMP BULLIS,,6120 CMPB-MCWILLIAMS RD #4,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6690751,,,,,,,,General Service PL,,,6608,,,,,,,,31,11520,25,25,1178.16,110.13,243.88,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1178.16,1791.37,-776.97,1014.4,2192.56,2192.56,2.1E+11
300-1406-034,500-0012-000,105515018,US GOVT CAMP BULLIS,,6120 CMPB-MCWILLIAMS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6626254,,,,,,,,Large Lighting and Power,,,20897,,,,,,,,31,116800,204,204,10511.08,"1,072.22","2,472.66",,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,10511.08,18304.66,-9442.84,8861.82,19372.9,19372.9,2.1E+11
300-1406-295,500-0012-000,105515018,US GOVT CAMP BULLIS,,6249 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8048243,,,,,,,,General Service PL,,,3288,,,,,,,,31,199,1,1,29.17,1.9,4.21,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,29.17,40.4,-20.57,19.83,49,49,2.1E+11
300-1406-299,500-0012-000,105515018,US GOVT CAMP BULLIS,,6250 CMPB-WILDERNESS TRL #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8103451,,,,,,,,General Service PL,,,108,,,,,,,,31,0,0,0,8.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-1406-501,500-0012-000,105515018,US GOVT CAMP BULLIS,,6149 CMPB-BLACK JACK VILLAGE #WELL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533882,,,,,,,,General Service PL,,,40680,,,,,,,,31,680,2,2,80.12,6.5,14.4,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,80.12,215.28,-120.05,95.23,175.35,175.35,2.1E+11
300-1406-502,500-0012-000,105515018,US GOVT CAMP BULLIS,,6201 CMPB-BULLIS RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301704,,,,,,,,General Service PL,,,11973,,,,,,,,31,2173,9,9,262.91,20.77,46,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,262.91,279.15,-125.42,153.73,416.64,416.64,2.1E+11
300-1406-504,500-0012-000,105515018,US GOVT CAMP BULLIS,,6208 CMPB-BULLIS RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6207045,,,,,,,,General Service PL,,,99,,,,,,,,31,480,1,1,58.01,4.59,10.16,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,58.01,177.64,-88.75,88.89,146.9,146.9,2.1E+11
300-1406-509,500-0012-000,105515018,US GOVT CAMP BULLIS,,6215 CMPB-NEW LEWIS VALLEY RD #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301714,,,,,,,,General Service PL,,,84890,,,,,,,,31,3751,8,8,396.08,35.86,79.41,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,396.08,540.06,-212.96,327.1,723.18,723.18,2.1E+11
300-1406-511,500-0012-000,105515018,US GOVT CAMP BULLIS,,6215 CMPB-NEW LEWIS VALLEY RD #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301706,,,,,,,,General Service PL,,,598,,,,,,,,31,12,1,1,9.97,0.11,0.25,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,9.97,-108.14,-9.85,-117.99,-108.02,-108.02,2.1E+11
300-1406-512,500-0012-000,105515018,US GOVT CAMP BULLIS,,6219 CMPB-NEW LEWIS VALLEY RD #WELL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533866,,,,,,,,General Service PL,,,47796,,,,,,,,31,6062,37,37,739.04,57.95,128.33,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,739.04,1409.07,-826.06,583.01,1322.05,1322.05,2.1E+11
300-1406-516,500-0012-000,105515018,US GOVT CAMP BULLIS,,6219 CMPB-NEW LEWIS VALLEY RD #HM,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6345460,,,,,,,,General Service PL,,,13246,,,,,,,,31,385,2,2,48.26,3.68,8.15,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,48.26,101.62,-56.69,44.93,93.19,93.19,2.1E+11
300-1406-518,500-0012-000,105515018,US GOVT CAMP BULLIS,,6225 CMPB-EAGLES NEST TRL #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301726,,,,,,,,General Service PL,,,11645,,,,,,,,31,51,1,1,13.99,0.49,1.08,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,13.99,20.68,-10.94,9.74,23.73,23.73,2.1E+11
300-1406-521,500-0012-000,105515018,US GOVT CAMP BULLIS,,6225 CMPB-EAGLES NEST TRL #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301724,,,,,,,,General Service PL,,,4676,,,,,,,,31,54,2,2,14.29,0.52,1.14,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,14.29,29.44,-17.29,12.15,26.44,26.44,2.1E+11
300-1406-522,500-0012-000,105515018,US GOVT CAMP BULLIS,,6227 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301657,,,,,,,,General Service PL,,,32808,,,,,,,,31,44,2,2,13.26,0.42,0.93,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,13.26,27.9,-16.63,11.27,24.53,24.53,2.1E+11
300-1406-524,500-0012-000,105515018,US GOVT CAMP BULLIS,,6235 CMPB-EAGLES NEST TRL #1,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301727,,,,,,,,General Service PL,,,17343,,,,,,,,31,239,4,4,33.27,2.28,5.06,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,33.27,42.38,-20.35,22.03,55.3,55.3,2.1E+11
300-1406-525,500-0012-000,105515018,US GOVT CAMP BULLIS,,6242 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,8103492,,,,,,,,General Service PL,,,,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-1406-532,500-0012-000,105515018,US GOVT CAMP BULLIS,,6246 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301707,,,,,,,,General Service PL,,,11844,,,,,,,,31,0,0,0,8.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,8.75,18.27,-9.52,8.75,17.5,17.5,2.1E+11
300-1406-701,500-0012-000,105515018,US GOVT CAMP BULLIS,,6251 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301920,,,,,,,,General Service PL,,,5196,,,,,,,,31,0,0,0,8.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,8.75,18.05,-9.19,8.86,17.61,17.61,2.1E+11
300-1406-702,500-0012-000,105515018,US GOVT CAMP BULLIS,,6256 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301921,,,,,,,,General Service PL,,,25716,,,,,,,,31,641,2,2,75.35,6.13,13.57,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,75.35,81.16,-49.03,32.13,107.48,107.48,2.1E+11
300-1406-703,500-0012-000,105515018,US GOVT CAMP BULLIS,,6258 CMPB-EAGLES NEST TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301923,,,,,,,,General Service PL,,,8243,,,,,,,,31,90,3,3,17.99,0.86,1.91,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,17.99,30.2,-17.61,12.59,30.58,30.58,2.1E+11
300-1406-705,500-0012-000,105515018,US GOVT CAMP BULLIS,,6264 CMPB-EAGLES NEST TRL #2,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301922,,,,,,,,General Service PL,,,25501,,,,,,,,31,343,8,8,43.95,3.28,7.26,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,43.95,32.75,-20.75,12,55.95,55.95,2.1E+11
300-1406-716,500-0012-000,105515018,US GOVT CAMP BULLIS,,6285 CMPB-WILDERNESS TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301659,,,,,,,,General Service PL,,,41262,,,,,,,,31,441,2,2,54.02,4.22,9.34,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,54.02,75.34,-38.63,36.71,90.73,90.73,2.1E+11
300-1406-718,500-0012-000,105515018,US GOVT CAMP BULLIS,,6290 CMPB-WILDERNESS TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301881,,,,,,,,General Service PL,,,714,,,,,,,,31,0,1,1,8.75,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,8.75,17.61,-8.86,8.75,17.5,17.5,2.1E+11
300-1406-719,500-0012-000,105515018,US GOVT CAMP BULLIS,,6291 CMPB-WILDERNESS TRL,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301883,,,,,,,,General Service PL,,,3,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-1406-722,500-0012-000,105515018,US GOVT CAMP BULLIS,,25455 CMPB-MONTERREY RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6626039,,,,,,,,General Service PL,,,712,,,,,,,,31,15000,417,417,1833.32,143.4,317.55,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1833.32,3313.5,-1656.75,1656.75,3490.07,3490.07,2.1E+11
300-1406-731,500-0012-000,105515018,US GOVT CAMP BULLIS,,20690 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301870,,,,,,,,General Service PL,,,85494,,,,,,,,31,444,8,8,54.31,4.24,9.4,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,54.31,167.82,-94.71,73.11,127.42,127.42,2.1E+11
300-1407-604,500-0012-000,105515018,US GOVT CAMP BULLIS,,5119 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6246567,,,,,,,,General Service PL,,,85,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,-4.37,-8.75,-13.12,-4.37,-4.37,2.1E+11
300-1407-614,500-0012-000,105515018,US GOVT CAMP BULLIS,,5908 CMPB-ALL AMERICAN,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301871,,,,,,,,General Service PL,,,11343,,,,,,,,31,47,0,0,13.57,0.45,0.99,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,13.57,-20.75,-12.8,-33.55,-19.98,-19.98,2.1E+11
300-1408-106,500-0012-000,105515018,US GOVT CAMP BULLIS,,4999 CMPB-LEWIS VALLEY RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6301651,,,,,,,,General Service PL,,,94,,,,,,,,,,0,0,8.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,8.75,17.5,-8.75,8.75,17.5,17.5,2.1E+11
300-1408-113,500-0012-000,105515018,US GOVT CAMP BULLIS,,5107 CMPB-WILKERSON RD,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6463131,,,,,,,,General Service PL,,,8342,,,,,,,,31,14400,36,36,1504.44,137.66,304.85,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,1504.44,2214.55,-1135.04,1079.51,2583.95,2583.95,2.1E+11
300-1408-118,500-0012-000,105515018,US GOVT CAMP BULLIS,,6228 CMPB-BULLIS RD #SLS,,6/30/2021,7/29/2021,5/29/2021,6/28/2021,6533865,,,,,,,,General Service PL,,,2235,,,,,,,,31,36,4,4,12.44,0.34,0.76,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,12.44,27.9,-12.69,15.21,27.65,27.65,2.1E+11
